Company,Product,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_Category,Price_per_kg
lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,windows 10,2.8,649.0,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce GTX 940M,Mid-Range,231.7857142857143
lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,no os,2.2,549.0,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Nvidia,GeForce 940MX,Mid-Range,249.54545454545453
asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,8,windows 10,2.5,1265.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,Premium,506.0
lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,no os,2.2,359.99,Standard,1366,768,No,No,No,Intel,1.1,Pentium Quad Core N4200,1024,0,HDD,No,Intel,HD Graphics 505,Budget,163.63181818181818
hp,EliteBook x360,2 in 1 Convertible,13.3,16,windows 10,1.28,1975.0,Full HD,1920,1080,Yes,No,No,Intel,2.8,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,1542.96875
toshiba,Satellite Pro,Notebook,15.6,8,windows 10,2.2,1043.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Nvidia,GeForce 930M,Premium,474.09090909090907
lenovo,IdeaPad 320-15IKB,Notebook,15.6,8,windows 10,2.3,819.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce 940MX,Mid-Range,356.0869565217392
hp,250 G6,Notebook,15.6,4,windows 10,1.86,469.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,Budget,252.15053763440858
lenovo,IdeaPad 720S-13IKB,Notebook,13.3,8,windows 10,1.1,999.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,908.1818181818181
dell,XPS 13,Ultrabook,13.3,16,windows 10,1.21,2499.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620,Ultra-Premium,2065.289256198347
msi,GE63VR 7RF,Gaming,15.6,16,windows 10,2.8,2099.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070,Ultra-Premium,749.6428571428572
acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,8,windows 10,2.23,469.0,Full HD,1920,1080,No,No,No,AMD,2.2,A8-Series 7410,256,0,SSD,No,AMD,Radeon R5,Budget,210.31390134529147
asus,VivoBook Flip,2 in 1 Convertible,11.6,2,windows 10,1.1,275.0,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,Budget,249.99999999999997
dell,Inspiron 5570,Notebook,15.6,8,windows 10,2.33,844.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,Mid-Range,362.23175965665234
hp,Spectre x360,2 in 1 Convertible,13.3,16,windows 10,1.29,2449.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620,Ultra-Premium,1898.4496124031007
lenovo,ThinkPad 13,Notebook,13.3,4,chrome os,1.45,459.9,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core 3855U,16,0,Flash Storage,No,Intel,HD Graphics 510,Budget,317.17241379310343
hp,ProBook 640,Notebook,14.0,8,windows 10,1.95,980.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,502.5641025641026
acer,TravelMate B,Notebook,11.6,4,windows 10,1.4,485.0,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,128,0,Flash Storage,No,Intel,HD Graphics 405,Budget,346.42857142857144
hp,Elitebook 840,Notebook,14.0,8,windows 10,1.48,1292.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,Premium,872.972972972973
lenovo,IdeaPad 320-17IKB,Notebook,17.3,4,windows 10,2.79,589.0,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Nvidia,GeForce 920MX,Mid-Range,211.11111111111111
asus,ZenBook UX410UA-GV183T,Notebook,14.0,8,windows 10,2.0,1094.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,Premium,547.0
hp,ProBook 450,Notebook,15.6,8,windows 10,2.1,902.0,Full HD,1366,768,No,Yes,No,Intel,1.8,Core i7 8550U,1024,0,HDD,No,Intel,UHD Graphics 620,Mid-Range,429.5238095238095
acer,Aspire 5,Notebook,15.6,8,windows 10,2.2,659.0,Standard,1366,768,No,No,No,AMD,2.7,A12-Series 9720P,256,0,SSD,No,AMD,Radeon RX 540,Mid-Range,299.5454545454545
lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,windows 10,1.44,292.0,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,Budget,202.77777777777777
acer,Aspire E5-575,Notebook,15.6,6,windows 10,2.23,549.0,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,Mid-Range,246.18834080717488
asus,VivoBook S15,Ultrabook,15.6,8,windows 10,1.7,1049.9,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX,Premium,617.5882352941177
hp,Elitebook 820,Ultrabook,12.5,8,windows 10,1.26,1335.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,Premium,1059.5238095238094
dell,XPS 15,Notebook,15.6,32,windows 10,2.06,2639.0,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,1024,0,SSD,No,Nvidia,GeForce GTX 1050,Ultra-Premium,1281.0679611650485
msi,GL72M 7REX,Gaming,17.3,8,windows 10,2.7,1199.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,Premium,444.074074074074
toshiba,Satellite Pro,Notebook,15.6,8,windows 10,2.0,943.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,471.5
asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,8,windows 10,2.0,1334.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,1024,SSD,HDD,Intel,HD Graphics 620,Premium,667.0
lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,4,windows 10,1.85,449.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,1024,0,HDD,No,Intel,HD Graphics 520,Budget,242.70270270270268
asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,8,windows 10,2.5,999.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050,Mid-Range,399.6
hp,EliteBook 840,Notebook,14.0,8,windows 10,1.48,1268.0,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620,Premium,856.7567567567568
dell,Inspiron 7570,Ultrabook,15.6,8,windows 10,1.9,1049.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,Nvidia,GeForce 940MX,Premium,552.1052631578948
hp,Elitebook 850,Notebook,15.6,8,windows 10,1.84,1144.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Premium,621.7391304347826
asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,4,linux,2.0,274.99,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,Budget,137.495
dell,Inspiron 7570,Notebook,15.6,8,windows 10,2.0,1142.75,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Nvidia,GeForce 940MX,Premium,571.375
dell,Inspiron 3552,Notebook,15.6,4,linux,2.2,274.9,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics,Budget,124.95454545454544
lenovo,IdeaPad 320-15ABR,Notebook,15.6,12,windows 10,2.2,899.0,Full HD,1920,1080,No,No,No,AMD,3.6,A12-Series 9720P,2048,0,HDD,No,AMD,Radeon 530,Mid-Range,408.6363636363636
hp,ProBook 450,Notebook,15.6,8,windows 10,2.1,716.0,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,1024,0,HDD,No,Nvidia,GeForce 930MX ,Mid-Range,340.95238095238096
lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,16,windows 10,1.4,2099.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,Ultra-Premium,1499.2857142857144
dell,XPS 13,Ultrabook,13.3,8,windows 10,1.2,1579.0,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,Ultra-Premium,1315.8333333333335
lenovo,Legion Y520-15IKBN,Gaming,15.6,16,windows 10,2.4,1129.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,256,2048,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,Premium,470.4166666666667
hp,Stream 14-AX001nv,Notebook,14.0,2,windows 10,1.44,279.0,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,Flash Storage,No,Intel,HD Graphics 400,Budget,193.75
dell,Latitude 5590,Ultrabook,15.6,16,windows 10,1.88,1607.96,Full HD,1920,1080,No,No,No,Intel,1.9,Core i7 8650U,512,256,SSD,SSD,Intel,UHD Graphics 620,Ultra-Premium,855.2978723404256
asus,VivoBook Flip,2 in 1 Convertible,11.6,4,windows 10,1.5,375.0,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,Budget,250.0
dell,Inspiron 5570,Ultrabook,15.6,8,windows 10,1.9,663.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,AMD,Radeon 530,Mid-Range,348.94736842105266
dell,XPS 15,Notebook,15.6,16,windows 10,2.06,2027.42,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050,Ultra-Premium,984.1844660194175
hp,Elitebook 850,Notebook,15.6,8,windows 10,1.84,1304.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,Premium,708.695652173913
msi,GP72MVR 7RFX,Gaming,17.3,8,windows 10,2.7,1409.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,Premium,521.8518518518518
hp,Zbook 15,Workstation,15.6,8,windows 10,2.6,1738.27,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200,Ultra-Premium,668.5653846153846
toshiba,Tecra A50-C-21G,Notebook,15.6,16,windows 10,2.4,1403.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Nvidia,GeForce 930M,Premium,584.5833333333334
dell,Inspiron 5570,Notebook,15.6,8,windows 10,2.02,970.9,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,128,2048,SSD,HDD,AMD,Radeon 530,Mid-Range,480.6435643564356
lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,no os,2.2,321.99,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,Budget,146.3590909090909
dell,Inspiron 7577,Gaming,15.6,8,windows 10,2.65,999.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7300HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,Mid-Range,376.9811320754717
dell,Inspiron 3567,Notebook,15.6,8,windows 10,2.36,557.37,Standard,1366,768,Yes,No,No,Intel,2.5,Core i5 7200U,2048,0,HDD,No,Intel,HD Graphics 620,Mid-Range,236.17372881355934
dell,Latitude 7480,Notebook,14.0,8,windows 10,1.36,1427.0,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 7300U,256,0,SSD,No,Intel,HD Graphics 620,Premium,1049.264705882353
hp,250 G6,Notebook,15.6,4,windows 10,1.86,439.0,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,Budget,236.02150537634407
asus,Zenbook UX410UA-GV027T,Notebook,14.0,8,windows 10,2.0,945.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,472.5
lenovo,IdeaPad 320-17IKB,Notebook,17.3,6,windows 10,2.8,719.0,Standard,1600,900,No,No,No,Intel,2.5,Core i5 7200U,128,1024,SSD,HDD,Nvidia,GeForce GTX 940MX,Mid-Range,256.7857142857143
hp,250 G6,Notebook,15.6,8,windows 10,1.86,639.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,Mid-Range,343.54838709677415
lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,no os,2.2,499.0,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,256,0,SSD,No,Nvidia,GeForce 920MX ,Budget,226.8181818181818
hp,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,8,windows 10,2.04,389.0,Standard,1366,768,No,No,No,Intel,1.6,Pentium Quad Core N3710,2048,0,HDD,No,Intel,HD Graphics 405,Budget,190.68627450980392
dell,Inspiron 5770,Notebook,17.3,8,windows 10,2.8,1085.0,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,128,1024,SSD,HDD,AMD,Radeon 530,Premium,387.5
lenovo,Legion Y520-15IKBN,Gaming,15.6,8,no os,2.4,809.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7300HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,Mid-Range,337.08333333333337
dell,Inspiron 5567,Notebook,15.6,8,windows 10,2.33,899.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445,Mid-Range,385.83690987124464
hp,Elitebook 1040,Ultrabook,14.0,8,windows 10,1.36,1750.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,1286.764705882353
asus,ZenBook Flip,2 in 1 Convertible,15.6,12,windows 10,2.26,1099.0,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,2048,SSD,HDD,Nvidia,GeForce GT 940MX,Premium,486.28318584070803
acer,Aspire 3,Notebook,15.6,4,windows 10,2.1,426.0,Standard,1366,768,No,No,No,AMD,3.0,A9-Series 9420,128,0,SSD,No,AMD,Radeon R5,Budget,202.85714285714286
asus,Rog Strix,Gaming,17.3,16,windows 10,3.25,2199.0,Full HD,1920,1080,No,Yes,No,AMD,3.0,Ryzen 1700,256,1024,SSD,HDD,AMD,Radeon RX 580,Ultra-Premium,676.6153846153846
lenovo,IdeaPad 110-17ACL,Notebook,17.3,4,windows 10,2.6,489.0,Standard,1600,900,No,No,No,AMD,2.2,A8-Series 7410,128,0,SSD,No,AMD,Radeon R5,Budget,188.07692307692307
dell,Inspiron 5379,2 in 1 Convertible,13.3,8,windows 10,1.62,869.01,Full HD,1920,1080,Yes,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,Mid-Range,536.4259259259259
hp,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,4,windows 10,1.91,488.99,Full HD,1920,1080,No,No,No,AMD,3.0,A9-Series 9420,256,0,SSD,No,AMD,Radeon R5,Budget,256.01570680628276
lenovo,Yoga 11e,Netbook,11.6,4,windows 10,1.59,553.0,Standard,1366,768,No,Yes,No,Intel,1.1,Celeron Quad Core N3450,128,0,SSD,No,Intel,HD Graphics 500,Mid-Range,347.7987421383648
dell,Inspiron 3552,Notebook,15.6,4,windows 10,1.8,309.0,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,500,0,HDD,No,Intel,HD Graphics 400,Budget,171.66666666666666
asus,VivoBook E403NA,Notebook,14.0,4,windows 10,1.5,286.0,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,Budget,190.66666666666666
acer,Aspire 7,Notebook,15.6,8,linux,2.4,846.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,Mid-Range,352.5
hp,Omen 17-w212nv,Gaming,17.3,8,windows 10,3.35,1191.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1050,Premium,355.5223880597015
lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,4,no os,1.85,403.5,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,Budget,218.1081081081081
asus,ROG Strix,Gaming,15.6,8,windows 10,2.3,1655.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,Core i7 7700HQ,128,1024,SSD,HDD,Nvidia,GeForce GTX 1060,Ultra-Premium,719.5652173913044
lenovo,IdeaPad 720S-14IKB,Notebook,14.0,8,windows 10,1.5,1099.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Nvidia,GeForce 940MX,Premium,732.6666666666666
asus,Zenbook Flip,Ultrabook,13.3,16,windows 10,1.1,1748.9,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,1589.9090909090908
lenovo,Thinkpad X1,Ultrabook,14.0,8,windows 10,1.13,2282.0,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,2019.4690265486727
lenovo,Ideapad 510S-13IKB,Notebook,13.3,4,windows 10,1.5,549.0,Full HD,1920,1080,No,Yes,No,Intel,2.4,Core i3 7100U,128,0,SSD,No,Intel,HD Graphics 620,Mid-Range,366.0
dell,Precision 3510,Workstation,15.6,8,windows 10,2.23,1369.0,Full HD,1920,1080,No,No,No,Intel,2.6,Core i5 6440HQ,500,0,HDD,No,AMD,FirePro W5130M,Premium,613.9013452914799
dell,Precision 5520,Workstation,15.6,8,windows 10,2.0,2135.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 6820HQ,256,0,SSD,No,Nvidia,Quadro M1200,Ultra-Premium,1067.5
lenovo,ThinkPad X1,2 in 1 Convertible,14.0,16,windows 10,1.42,2509.0,Standard,2560,1440,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,1766.9014084507044
asus,Rog GL753VD-GC042T,Gaming,17.3,8,windows 10,3.0,1039.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,1024,0,HDD,No,Nvidia,GeForce GTX 1050,Premium,346.3333333333333
asus,Rog GL753VE-GC070T,Gaming,17.3,16,windows 10,3.0,1591.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050 Ti,Ultra-Premium,530.3333333333334
acer,Aspire 5,Notebook,15.6,12,windows 10,2.2,693.99,Standard,1366,768,No,Yes,No,Intel,1.6,Core i5 8250U,1024,0,HDD,No,Nvidia,GeForce MX130,Mid-Range,315.45
msi,Leopard GP72M,Gaming,17.3,8,windows 10,2.7,1349.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050 Ti,Premium,499.6296296296296
dell,Inspiron 5567,Notebook,15.6,8,linux,2.33,778.87,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,AMD,Radeon R7 M445,Mid-Range,334.27896995708153
hp,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,4,windows 10,1.91,499.0,Full HD,1920,1080,No,No,No,AMD,3.0,A9-Series 9420,256,0,SSD,No,AMD,Radeon 520,Budget,261.2565445026178
lenovo,ThinkPad E580,Notebook,15.6,8,windows 10,2.1,1229.56,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550,Premium,585.5047619047618
lenovo,ThinkPad L470,Notebook,14.0,8,windows 10,1.9,938.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,493.68421052631584
dell,Precision M5520,Workstation,15.6,8,windows 10,1.78,2712.0,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,Quadro M1200,Ultra-Premium,1523.5955056179776
lenovo,Thinkpad X1,Ultrabook,14.0,16,windows 10,1.13,2625.0,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,2323.0088495575224
lenovo,IdeaPad 320-15IAP,Notebook,15.6,4,windows 10,2.2,306.0,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,1024,0,HDD,No,Intel,HD Graphics 500,Budget,139.0909090909091
asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,16,windows 10,2.9,1529.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1050,Ultra-Premium,527.2413793103449
lenovo,ThinkPad E580,Notebook,15.6,8,windows 10,2.1,1144.5,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,1024,SSD,HDD,AMD,Radeon RX 550,Premium,545.0
acer,Aspire 7,Notebook,15.6,8,linux,2.5,879.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,0,SSD,No,Nvidia,GeForce GTX 1050,Mid-Range,351.6
msi,GE73VR 7RF,Gaming,17.3,16,windows 10,2.8,2249.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,256,1024,SSD,HDD,Nvidia,GeForce GTX 1070,Ultra-Premium,803.2142857142858
asus,Zenbook 3,Ultrabook,14.0,8,windows 10,1.1,1873.0,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,Ultra-Premium,1702.7272727272725
toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,windows 10,1.2,1747.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520,Ultra-Premium,1455.8333333333335
dell,Latitude 7480,Ultrabook,14.0,8,windows 10,1.36,1680.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7600U,512,0,SSD,No,Intel,HD Graphics,Ultra-Premium,1235.2941176470588
lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,windows 10,2.2,409.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,500,0,HDD,No,Intel,HD Graphics 520,Budget,185.9090909090909
lenovo,Lenovo IdeaPad,Notebook,11.6,2,windows 10,1.15,304.45,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,Budget,264.7391304347826
lenovo,ThinkPad P51,Workstation,15.6,8,windows 10,2.67,1925.0,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,Quadro M1200,Ultra-Premium,720.9737827715356
lenovo,Thinkpad T470p,Ultrabook,14.0,8,windows 10,1.7,1943.0,Full HD,2560,1440,No,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GT 940MX,Ultra-Premium,1142.9411764705883
hp,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,4,windows 10,2.1,469.0,Full HD,1920,1080,No,No,No,Intel,2.0,Core i3 6006U,1024,0,HDD,No,AMD,Radeon 520,Budget,223.33333333333331
acer,Aspire R7,2 in 1 Convertible,13.3,8,windows 10,1.6,789.01,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520,Mid-Range,493.13124999999997
asus,ZenBook Flip,2 in 1 Convertible,13.3,8,windows 10,1.27,928.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,Mid-Range,730.7086614173228
dell,Inspiron 3567,Notebook,15.6,4,linux,2.3,598.9,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,AMD,Radeon R5 M430,Mid-Range,260.3913043478261
dell,Latitude 3380,Notebook,13.3,4,windows 10,1.65,689.0,Standard,1366,768,No,No,No,Intel,2.0,Core i3 6006U,128,0,SSD,No,Intel,HD Graphics 520,Mid-Range,417.5757575757576
hp,EliteBook 1040,Ultrabook,14.0,8,windows 10,1.43,1500.0,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520,Premium,1048.951048951049
dell,Inspiron 3567,Notebook,15.6,8,windows 10,2.14,539.95,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,1024,0,HDD,No,Intel,HD Graphics 620,Mid-Range,252.31308411214954
lenovo,ThinkPad E480,Ultrabook,14.0,8,windows 10,1.75,1215.38,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,AMD,Radeon RX 550,Premium,694.5028571428572
lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,16,windows 10,2.0,1899.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,2.8,Core i7 7700HQ,512,0,SSD,No,Nvidia,GeForce GTX 1050,Ultra-Premium,949.5
chuwi,LapBook 12.3,Notebook,12.3,6,windows 10,1.4,449.0,Standard,2736,1824,No,Yes,Yes,Intel,1.1,Celeron Quad Core N3450,64,0,Flash Storage,No,Intel,HD Graphics 500,Budget,320.7142857142857
hp,ProBook 650,Notebook,15.6,8,windows 10,2.31,1427.0,Full HD,1920,1080,No,No,No,Intel,2.9,Core i7 7820HQ,256,0,SSD,No,Intel,HD Graphics 630,Premium,617.7489177489177
